"","code_minor","green_share","count_total","count_green","count_stem","name_minor"
"1","011",0.00297619047619048,98,1,6,"Commissioned Armed Forces Officers"
"2","021",0,54,0,6,"Non-commissioned Armed Forces Officers"
"3","031",0.00454545454545455,133,1,15,"Armed Forces Occupations, Other Ranks"
"4","111",0.00226244343891403,244,1,5,"Legislators and Senior Officials"
"5","112",0.0456767607930399,184,10,12,"Managing Directors and Chief Executives"
"6","121",0.0733576715110078,1005,89,46,"Business Services and Administration Managers"
"7","122",0.0252132226392021,684,16,130,"Sales, Marketing and Development Managers"
"8","131",0.159027277977698,168,26,11,"Production Managers in Agriculture, Forestry and Fisheries"
"9","132",0.0336381038966307,1162,100,71,"Manufacturing, Mining, Construction and Distribution Managers"
"10","133",0.0197368421052632,321,9,194,"Information and Communications Technology Service managers"
"11","134",0.0288751288257474,1142,58,88,"Professional Services Managers"
"12","141",0.0987076648841355,113,13,7,"Hotel and Restaurant Managers"
"13","142",0.0335899626214037,393,11,28,"Retail and Wholesale Trade Managers"
"14","143",0.0354555745532089,433,10,27,"Other Services Managers"
"15","211",0.098369961084879,480,49,67,"Physical and Earth Science Professionals"
"16","212",0.00453514739229025,185,2,80,"Mathematicians, Actuaries and Statisticians"
"17","213",0.256736300218529,956,189,70,"Life Science Professionals"
"18","214",0.111544515516207,2013,271,301,"Engineering Professionals (excluding Electrotechnology)"
"19","215",0.0497289479742163,675,58,254,"Electrotechnology Engineers"
"20","216",0.037760226709076,933,52,276,"Architects, Planners, Surveyors and Designers"
"21","221",0,106,0,38,"Medical Doctors"
"22","222",0,171,0,4,"Nursing and Midwifery Professionals"
"23","223",0.00253164556962025,158,2,1,"Traditional and Complementary Medicine Professionals"
"24","225",0.120343084862964,201,20,34,"Veterinarians"
"25","226",0.0275706753232675,893,19,52,"Other Health Professionals"
"26","231",0.00306053110568346,671,10,108,"University and Higher Education Teachers"
"27","232",0.0205247020016472,543,22,37,"Vocational education teachers"
"28","233",0.00720780613401427,216,5,20,"Secondary Education Teachers"
"29","234",0,86,0,1,"Primary School and Early Childhood Teachers"
"30","235",0.000509943906170321,566,1,124,"Other Teaching Professionals"
"31","241",0.0153342508856382,419,5,10,"Finance Professionals"
"32","242",0.0301871161624647,730,41,41,"Administration Professionals"
"33","243",0.0218457327253863,711,26,130,"Sales, Marketing and Public Relations Professionals"
"34","251",0.00583090379008746,619,6,445,"Software and Applications Developers and Analysts"
"35","252",0,447,0,354,"Database and Network Professionals"
"36","261",0.00914363545423286,313,6,18,"Legal Professionals"
"37","262",0.00245700245700246,235,1,59,"Librarians, Archivists and Curators"
"38","263",0.00234057556280674,845,7,63,"Social and Religious Professionals"
"39","264",0,488,0,114,"Authors, Journalists and Linguists"
"40","265",0.00405385607126113,688,7,82,"Creative and Performing Artists"
"41","311",0.0769398207866782,1751,161,225,"Physical and Engineering Science Technicians"
"42","312",0.0507271806381331,986,56,45,"Mining, Manufacturing and Construction Supervisors"
"43","313",0.161164753362266,542,91,58,"Process Control Technicians"
"44","314",0.179203732227539,315,51,13,"Life Science Technicians and Related Associate Professionals"
"45","315",0.0340171610427892,517,21,53,"Ship and Aircraft Controllers and Technicians"
"46","321",0.00835580541462894,260,3,9,"Medical and Pharmaceutical Technicians"
"47","322",0,49,0,1,"Nursing and Midwifery Associate Professionals"
"48","323",0.0408163265306122,49,2,0,"Traditional and Complementary Medicine Associate Professionals"
"49","324",0.0576059150836621,117,4,2,"Veterinary Technicians and Assistants"
"50","325",0.0714395157595786,803,48,34,"Other Health Associate Professionals"
"51","331",0.00490318568390648,377,2,23,"Financial and Mathematical Associate Professionals"
"52","332",0.0229797413352072,512,34,29,"Sales and Purchasing Agents and Brokers"
"53","333",0.0145761417220197,597,12,22,"Business Services Agents"
"54","334",0,490,0,80,"Administrative and Specialized Secretaries"
"55","335",0.0395037832537833,371,21,12,"Government Regulatory  Associate Professionals"
"56","341",0.0030735905391956,375,3,11,"Legal, Social and Religious Associate Professionals"
"57","342",0.0304308575104937,309,10,8,"Sports and Fitness Workers"
"58","343",0.0137841388411127,817,14,123,"Artistic, Cultural and Culinary Associate Professionals"
"59","351",0,250,0,200,"Information and Communications Technology Operations and User Support Technicians"
"60","352",0.0103393630179344,304,1,117,"Telecommunications and Broadcasting Technicians"
"61","411",0,69,0,14,"General Office Clerks"
"62","412",0,41,0,8,"Secretaries (general)"
"63","413",0,62,0,40,"Keyboard Operators"
"64","421",0.00183150183150183,213,1,15,"Tellers, Money Collectors and Related Clerks"
"65","422",0.0324920725280909,395,11,55,"Client Information Workers"
"66","431",0,196,0,10,"Numerical Clerks"
"67","432",0.0507505331523257,521,21,28,"Material Recording and Transport Clerks"
"68","441",0.00543478260869565,174,1,22,"Other Clerical Support Workers"
"69","511",0.0934758970336047,226,29,11,"Travel Attendants, Conductors and Guides"
"70","512",0.0329443089063582,110,5,0,"Cooks"
"71","513",0.00676767676767677,163,3,1,"Waiters and Bartenders"
"72","514",0.00669359797420148,289,1,4,"Hairdressers, Beauticians and Related Workers"
"73","515",0.0387979087379387,200,15,6,"Building and Housekeeping Supervisors"
"74","516",0.0425501930484633,391,13,14,"Other Personal Services Workers"
"75","521",0,62,0,1,"Street and Market Salespersons"
"76","522",0.0045292165018303,498,7,31,"Shop Aalespersons"
"77","523",0,86,0,3,"Cashiers and Ticket Clerks"
"78","524",0.0041958041958042,222,1,11,"Other Sales Workers"
"79","531",0.0123414547552479,174,1,3,"Child Care Workers and Teachers' Aides"
"80","532",0.0111111111111111,188,2,7,"Personal Care Workers in Health Services"
"81","541",0.0460234296147609,445,27,13,"Protective Services Workers"
